ArticleID,topic_1,topic_1_prop,topic_2,topic_2_prop,topic_3,topic_3_prop
34153941,33.0,0.8998035192489624,87.0,0.08942447602748871,87.0,0.08942447602748871
34153942,85.0,0.6909709572792053,35.0,0.29763200879096985,35.0,0.29763200879096985
34153964,15.0,0.4160267412662506,58.0,0.2627725601196289,34.0,0.15251155197620392
34153968,10.0,0.44127750396728516,54.0,0.31915202736854553,78.0,0.233187735080719
34153978,97.0,0.8386507630348206,54.0,0.15124425292015076,54.0,0.15124425292015076
34153979,54.0,0.646628201007843,85.0,0.20904238522052765,15.0,0.08439972251653671
34153980,88.0,0.6935632824897766,8.0,0.29673200845718384,8.0,0.29673200845718384
34153982,97.0,0.43264085054397583,44.0,0.1846008151769638,66.0,0.1829247772693634
34153983,36.0,0.5091213583946228,59.0,0.2482360452413559,8.0,0.2335744947195053
34153984,8.0,0.5931879878044128,45.0,0.2825189530849457,35.0,0.11613941192626953
34153985,8.0,0.30965110659599304,4.0,0.2635529637336731,44.0,0.22460615634918213
34153986,85.0,0.40690311789512634,66.0,0.32030409574508667,70.0,0.14605620503425598
34153989,3.0,0.9809589982032776,3.0,0.9809589982032776,3.0,0.9809589982032776
34154038,47.0,0.747100293636322,79.0,0.23848554491996765,79.0,0.23848554491996765
34159821,12.0,0.51618492603302,90.0,0.4559065103530884,90.0,0.4559065103530884
34159834,0.0,0.9900985360145569,0.0,0.9900985360145569,0.0,0.9900985360145569
34159907,1.0,0.9845288395881653,1.0,0.9845288395881653,1.0,0.9845288395881653
34159908,17.0,0.5020991563796997,54.0,0.3622725009918213,19.0,0.12792912125587463
34159909,11.0,0.5688323974609375,21.0,0.42396092414855957,21.0,0.42396092414855957
34159910,94.0,0.5240349769592285,15.0,0.1619250774383545,41.0,0.12806591391563416
34159911,91.0,0.6219217777252197,44.0,0.3061642050743103,80.0,0.06309454143047333
34159912,37.0,0.5647422671318054,90.0,0.3395830988883972,11.0,0.08354789018630981
34159913,15.0,0.9872026443481445,15.0,0.9872026443481445,15.0,0.9872026443481445
34159914,19.0,0.8422343134880066,37.0,0.14796455204486847,37.0,0.14796455204486847
34159915,44.0,0.4086739420890808,97.0,0.3738305866718292,40.0,0.20489679276943207
34159916,97.0,0.6989740133285522,19.0,0.1684918850660324,11.0,0.12175455689430237
34159917,19.0,0.34385839104652405,11.0,0.33806437253952026,61.0,0.3033788800239563
34159918,54.0,0.3447445333003998,70.0,0.3309113085269928,24.0,0.31402289867401123
34159919,91.0,0.49206626415252686,68.0,0.3929702043533325,95.0,0.10418408364057541
34159920,12.0,0.9854393601417542,12.0,0.9854393601417542,12.0,0.9854393601417542
34159921,61.0,0.6021817922592163,87.0,0.15532132983207703,40.0,0.15009427070617676
34159922,92.0,0.8430899381637573,11.0,0.14766332507133484,11.0,0.14766332507133484
34159923,40.0,0.9887484312057495,40.0,0.9887484312057495,40.0,0.9887484312057495
34159924,79.0,0.39595526456832886,61.0,0.33484765887260437,11.0,0.25791558623313904
34159925,19.0,0.7597456574440002,86.0,0.22872373461723328,86.0,0.22872373461723328
34159926,55.0,0.8098124861717224,73.0,0.18038567900657654,73.0,0.18038567900657654
34159927,54.0,0.4117276966571808,18.0,0.18317146599292755,65.0,0.1783652901649475
34159928,41.0,0.8804190158843994,15.0,0.1105058416724205,15.0,0.1105058416724205
34159929,31.0,0.9909164309501648,31.0,0.9909164309501648,31.0,0.9909164309501648
34159930,87.0,0.5198904871940613,61.0,0.2408463954925537,51.0,0.22956131398677826
34159931,87.0,0.6114553213119507,82.0,0.20230792462825775,42.0,0.129163920879364
34159932,57.0,0.9842844009399414,57.0,0.9842844009399414,57.0,0.9842844009399414
34159933,9.0,0.9805856943130493,9.0,0.9805856943130493,9.0,0.9805856943130493
34159934,59.0,0.7116693258285522,19.0,0.11369217187166214,48.0,0.10482030361890793
34159935,11.0,0.8541375398635864,85.0,0.13165758550167084,85.0,0.13165758550167084
34159936,37.0,0.9893537163734436,37.0,0.9893537163734436,37.0,0.9893537163734436
34159937,77.0,0.9906591773033142,77.0,0.9906591773033142,77.0,0.9906591773033142
34159938,4.0,0.5082637667655945,11.0,0.27862748503685,22.0,0.09563986212015152
34159939,20.0,0.7697296142578125,78.0,0.22203375399112701,78.0,0.22203375399112701
34159940,11.0,0.665485680103302,19.0,0.32226303219795227,19.0,0.32226303219795227
34159941,87.0,0.5042083263397217,40.0,0.2429121732711792,41.0,0.19263003766536713
34159942,61.0,0.9897927641868591,61.0,0.9897927641868591,61.0,0.9897927641868591
34159943,95.0,0.5854064226150513,87.0,0.2204633355140686,11.0,0.18489070236682892
34159944,11.0,0.4541628062725067,15.0,0.2506132125854492,0.0,0.193067267537117
34159945,92.0,0.875067949295044,16.0,0.11152094602584839,16.0,0.11152094602584839
34159946,12.0,0.4041004776954651,5.0,0.2919084131717682,50.0,0.2803943157196045
34159947,77.0,0.8080245852470398,70.0,0.176416277885437,70.0,0.176416277885437
34159948,70.0,0.5697188377380371,57.0,0.3307122588157654,0.0,0.08935622125864029
34159949,6.0,0.6345414519309998,56.0,0.3570089340209961,56.0,0.3570089340209961
34159965,77.0,0.4217667877674103,9.0,0.4191831350326538,61.0,0.10667776316404343
34159966,18.0,0.34260353446006775,47.0,0.313565194606781,33.0,0.21927346289157867
34159968,90.0,0.37109655141830444,13.0,0.35627493262290955,9.0,0.2616040110588074
34159970,60.0,0.9874671101570129,60.0,0.9874671101570129,60.0,0.9874671101570129
34159977,40.0,0.9569495320320129,40.0,0.9569495320320129,40.0,0.9569495320320129
34159985,9.0,0.5013111233711243,82.0,0.331598162651062,21.0,0.15748478472232819
34160009,24.0,0.9917490482330322,24.0,0.9917490482330322,24.0,0.9917490482330322
34160010,54.0,0.9913143515586853,54.0,0.9913143515586853,54.0,0.9913143515586853
34160019,8.0,0.5905018448829651,49.0,0.2537519931793213,57.0,0.13369745016098022
